epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,4737.09,0.97778,0.84642,0.00846,0.74853,0.74818,0.77361,0.41482,1.25898,1.26211,0.01913,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,4794.63,0.97603,0.84743,0.00837,0.75321,0.7376,0.76992,0.41035,1.27955,1.28099,0.01971,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4851.76,0.9742,0.83603,0.00838,0.74887,0.75087,0.77047,0.4073,1.2667,1.29874,0.01968,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4909.14,0.96991,0.83167,0.00823,0.74899,0.7462,0.77298,0.41398,1.26043,1.30334,0.01961,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4967.7,0.96796,0.82159,0.00816,0.74637,0.74326,0.77369,0.41227,1.26905,1.28866,0.01978,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5026.26,0.96623,0.82367,0.00818,0.7443,0.74913,0.77497,0.41317,1.26682,1.29436,0.01965,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5084.95,0.96393,0.8188,0.00821,0.74586,0.75278,0.77402,0.41421,1.26611,1.28974,0.01973,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5142.39,0.96911,0.817,0.00824,0.74305,0.75658,0.77375,0.41183,1.27302,1.26695,0.01976,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5201.46,0.95929,0.80459,0.00816,0.74882,0.75087,0.77427,0.41133,1.2658,1.26208,0.01966,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,5259.8,0.95736,0.80739,0.00816,0.76795,0.73089,0.77279,0.40839,1.2721,1.27836,0.01977,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,5318.94,0.95618,0.80946,0.00813,0.7431,0.75959,0.77363,0.41126,1.26166,1.29668,0.01945,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,5378.74,0.95539,0.80449,0.00812,0.75473,0.74365,0.77288,0.41145,1.26288,1.27488,0.01961,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,5436.02,0.95426,0.80281,0.00806,0.74178,0.75528,0.77216,0.41097,1.25825,1.28018,0.0195,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,5493.91,0.94877,0.79099,0.00802,0.74047,0.75975,0.77665,0.41226,1.27801,1.24822,0.01979,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,5552.06,0.94282,0.77814,0.00786,0.7486,0.74987,0.77423,0.41163,1.27191,1.25531,0.01964,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,5610.17,0.94708,0.78698,0.00799,0.74667,0.74597,0.77229,0.41059,1.26131,1.28169,0.01925,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,5667.75,0.9454,0.78671,0.00794,0.74685,0.74707,0.76863,0.40836,1.2714,1.29197,0.01949,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,5726.83,0.94739,0.78915,0.00808,0.74577,0.75079,0.76984,0.40698,1.26617,1.27259,0.01946,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,5785.52,0.93877,0.78097,0.00798,0.75614,0.73312,0.76584,0.4049,1.26689,1.30938,0.01945,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,5844.75,0.93639,0.78441,0.00784,0.76581,0.73275,0.76942,0.40924,1.26425,1.29248,0.01949,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,5904.21,0.93519,0.7761,0.00789,0.76643,0.7301,0.76697,0.40634,1.26372,1.2996,0.01932,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
