,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,43.0,4420.030000000001,1.071946875,1.01686375,0.009971250000000001,0.808669375,0.7862025,0.8374431250000001,0.44309437500000004,1.113128125,0.9170024999999999,0.017075625,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
43,44.0,4522.098749999999,1.07784125,1.0137706249999998,0.010016875,0.81727375,0.779681875,0.839005625,0.4431425,1.111093125,0.9171675,0.017201875000000002,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
44,45.0,4623.484375,1.0680381250000002,0.998181875,0.0099475,0.817726875,0.78721,0.8413575,0.44770625,1.11037,0.906796875,0.017093125,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
45,46.0,4724.2975,1.06645375,0.99953875,0.0099475,0.82017375,0.78167875,0.8429187499999999,0.445928125,1.111275,0.9061762500000001,0.01718625,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
46,47.0,4825.211875,1.064129375,0.987953125,0.009845625,0.819543125,0.792470625,0.8454493750000001,0.45243875,1.10096375,0.8955525,0.016911250000000003,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
47,48.0,4925.875625,1.064085,0.98671625,0.009924375000000001,0.820956875,0.783688125,0.8435168749999999,0.45012937499999994,1.0981506250000002,0.9031,0.016898749999999997,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
48,49.0,5026.9556250000005,1.061205,0.98238125,0.009822500000000001,0.8269275,0.7806,0.846005,0.451345,1.101036875,0.8910612499999999,0.016869375,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
49,50.0,5129.4662499999995,1.055241875,0.9809574999999999,0.009795624999999999,0.829303125,0.79216625,0.8505550000000001,0.455004375,1.100383125,0.88500625,0.016883125,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
50,51.0,5231.246874999999,1.05363,0.980165,0.00977375,0.82637,0.792133125,0.849696875,0.45600875,1.0923675,0.880418125,0.01665125,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
51,52.0,5331.264375,1.05147125,0.9702474999999999,0.009784375,0.830041875,0.7895406249999999,0.850255,0.459439375,1.0816218750000002,0.86793875,0.016466875,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
52,53.0,5432.626875,1.048076875,0.96285625,0.009756875,0.831236875,0.791853125,0.85385375,0.462879375,1.07615625,0.855498125,0.016348750000000002,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
53,54.0,5534.56875,1.0507675,0.964624375,0.009661875,0.8319449999999999,0.795766875,0.8544318750000001,0.4635275,1.07551125,0.8511949999999999,0.01638125,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
54,55.0,5636.16125,1.043095,0.957595,0.009749375000000001,0.83713,0.7980262499999999,0.85744,0.468356875,1.0696400000000001,0.842838125,0.01631125,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
55,56.0,5735.3925,1.041850625,0.941995625,0.009593125000000001,0.8390299999999999,0.794101875,0.8563625,0.46428437499999997,1.0761975000000001,0.85047875,0.01632875,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
56,57.0,5834.195,1.04247375,0.955548125,0.0096075,0.8337643750000001,0.80113875,0.8571825,0.468715625,1.064805625,0.836639375,0.016134375,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
57,58.0,5933.021875,1.042815625,0.949681875,0.00965375,0.8375843749999999,0.8028318750000001,0.8602025,0.46766375000000004,1.070008125,0.834484375,0.016175,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
58,59.0,6031.88,1.038115,0.946446875,0.009605625,0.8348249999999999,0.804218125,0.85800125,0.471741875,1.05709125,0.8372124999999999,0.015927499999999997,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
59,60.0,6130.903125,1.028315,0.935283125,0.009466875,0.83387875,0.800924375,0.8575775,0.470615,1.062073125,0.837926875,0.016000625,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
60,61.0,6229.865,1.0290175,0.937230625,0.009475625,0.843606875,0.799103125,0.861336875,0.474773125,1.05105375,0.84627375,0.015870000000000002,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
61,62.0,6328.720625,1.03251625,0.9340731250000001,0.009483749999999999,0.834515625,0.80788625,0.8614762499999999,0.47470625,1.0505537500000002,0.83613125,0.01578875,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
62,63.0,6427.536875,1.02526,0.91922375,0.009373125,0.83967625,0.809713125,0.86417375,0.47747062500000004,1.051840625,0.81991125,0.0158275,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
63,64.0,6526.455,1.022885,0.92300125,0.0093025,0.84489375,0.808735,0.8650387500000001,0.4779025,1.0480512499999999,0.81827375,0.01576875,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
64,65.0,6625.016874999999,1.016165,0.911875625,0.00934625,0.84578875,0.8080087499999999,0.8651275,0.480234375,1.0453025,0.811236875,0.015748125,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
65,66.0,6723.925,1.0164962499999999,0.911239375,0.009305,0.8392656249999999,0.812418125,0.864545625,0.479236875,1.044321875,0.8179125,0.015748750000000002,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
66,67.0,6822.613125,1.0152762499999999,0.9117875,0.00933625,0.84714375,0.8113018750000001,0.8679831250000001,0.485068125,1.031736875,0.80486,0.015484999999999999,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
67,68.0,6921.484375,1.010495,0.8977606250000001,0.00925,0.8437675,0.813375,0.8669625000000001,0.485661875,1.0345274999999998,0.7965675000000001,0.015550000000000001,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
68,69.0,7020.3025,1.01027125,0.9065006250000001,0.009265,0.84197125,0.812921875,0.866543125,0.48670125,1.025870625,0.801488125,0.015385,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
69,70.0,7119.414375,1.009795,0.903391875,0.009246875,0.844101875,0.8097981249999999,0.86736375,0.486284375,1.02640875,0.803646875,0.015371875,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
70,71.0,7218.43375,1.007285,0.8940250000000001,0.009193125,0.843646875,0.813248125,0.86924625,0.48799375,1.02905125,0.793566875,0.01540625,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
71,72.0,7317.24125,0.999505,0.8924068749999999,0.0091275,0.845620625,0.815134375,0.869326875,0.489289375,1.024381875,0.7904675000000001,0.015333125,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
72,73.0,7416.01125,1.00123625,0.879484375,0.009105625,0.847595,0.818876875,0.870806875,0.49197437499999996,1.01806,0.78155375,0.015225625,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
73,74.0,7515.21,0.998358125,0.8787400000000001,0.009048125,0.84730125,0.818385625,0.8725912499999999,0.49259875,1.0173925000000001,0.784820625,0.015266249999999999,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
74,75.0,7614.011875,0.9969300000000001,0.880024375,0.009139375,0.84839875,0.817469375,0.871898125,0.493599375,1.018451875,0.7784,0.015240625,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
75,76.0,7712.940624999999,0.993449375,0.882413125,0.008989375,0.84753,0.8185625,0.8719425,0.49349,1.0150143749999998,0.78240125,0.015195,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
76,77.0,7811.611875,0.9900800000000001,0.8725337500000001,0.0090875,0.85412875,0.815470625,0.874064375,0.4964525,1.007900625,0.77898125,0.015041875,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
77,78.0,7910.39,0.98949,0.8682175,0.009019375,0.85493375,0.815061875,0.87352125,0.49754750000000003,1.00604625,0.777835,0.01500375,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
78,79.0,8009.376249999999,0.9858081249999999,0.86809125,0.009014375,0.851096875,0.81872625,0.873285,0.498371875,1.001670625,0.777900625,0.014888125,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
79,80.0,8108.3637499999995,0.98535125,0.8621918749999999,0.008905,0.8526281250000001,0.820615,0.87520625,0.49940625000000005,1.0026475000000001,0.771074375,0.014884999999999999,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
